title,summary,url,score,prob,keep
저신용자 신용대출 11% 급감… 대부업 등 고금리시장 내몰려 [경제 레이...,반면 법정 최고금리인 연 20% 수준에 육박하는 대부업의 저신용자 대출 공급액은 1조7000억원으로 전년보다 오히려 3000억원 늘어났다. 이에 따라 전체 저신용자 신용대출 가운데 카드론과 대부업이 차지하는 비중은...,https://www.segye.com/newsView/20260323515880?OutUrl=naver,9,,1
"높아진 대출 문턱…저신용자, 고금리 카드론·대부업 쏠림",법정 최고금리(연 최고 20%)에 가까운 대부업의 저신용자 대출 공급액만 지난해 1조7000억 원으로 3000억 원 늘었다. 저신용자 신용대출 공급액 중 카드론과 대부업 비중이 58.3%로 전년(56%)보다 2.3%포인트 늘었다....,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20260324.22011007163,9,,1
저신용자 고금리 대출 급증,법정 최고금리(연 최고 20%)에 가까운 대부업의 저신용자 대출 공급액은 지난해 1조 7000억 원으로 3000억 원 늘었다. 저신용자 신용대출 공급액 중 카드론과 대부업 비중이 58.3%로 전년(56%)보다 2.3%포인트 늘었다....,https://www.busan.com/view/busan/view.php?code=2026032317531020071,9,,1
저신용자 신용대출 11% 급감…고금리 카드론·대부업 쏠림 심화,법정 최고금리(연 20%)에 근접한 대부업의 저신용자 대출 공급액은 1조7000억원으로 전년보다 3000억원 증가했다. 이에 따라 저신용자 신용대출 가운데 카드론과 대부업이 차지하는 비중은 58.3%로 전년(56.0%) 대비 2.3...,https://www.greened.kr/news/articleView.html?idxno=338345,9,,1
"저신용자,고금리인 카드론·대부업 비중 60%",법정최고금리(연 최고 20%)에 가까운 대부업의 저신용자 대출 공급액만 지난해 1조7000억원으로 3000억원 늘었다. 저신용자 신용대출 공급액 중 카드론과 대부업 비중이 58.3%로 전년(56%)보다 2.3%포인트 늘었다. 저신용자...,http://www.seouleconews.com/news/articleView.html?idxno=90155,9,,1
금융권 총량 관리에 저신용자 '고금리 대출' 내몰린다,반면 법정 최고금리(연 최고 20%)에 가까운 대부업이 취급하는 저신용자 대출은 증가한 것으로 나타났다. 지난해 대부업의 저신용자 대출 공급 규모는 전년 대비 3000억원 늘어난 1조7000억원으로 집계됐다. 특히 저신용자...,https://www.safetimes.co.kr/news/articleView.html?idxno=241008,8,,1
"[이슈] 저신용자 대출문 좁아지자 쏠림현상, 대부업만 3천억 늘었다",카드론이나 대부업 같은 상대적 고금리 상품으로 밀려난 것으로 보인다. 문제는 이런 흐름이 단순한 업권... 금감원은 이달 초 저축은행 최고경영자들과 만난 자리에서 중·저신용자 대상 중금리 대출 공급에...,https://www.startuptoday.co.kr/news/articleView.html?idxno=602431,22,,1
"은행 문턱에 걸린 서민들, 카드론·대부업으로 내몰렸다","법정 최고금리인 연 20%에 육박하는 고금리에도 불구하고, 대부업 공급액은 전년 대비 3000억원 늘어난 1조7000억원을 기록했다. 이에 따라 전체 저신용자 신용대출 중 카드론과 대부업이 차지하는 비중은 58.3%까지...",http://www.enewstoday.co.kr/news/articleView.html?idxno=2409118,12,,1
저신용자 은행 대출 11% 급감…카드론·대부업 쏠림 '악순환',반면 법정 최고금리(연 최고 20%)에 근접한 대부업의 저신용자 대출액은 증가세를 보였다. 지난해 저신용자 대상 대부업 대출 공급액은 1조 7000억 원으로 전년 대비 3000억 원 늘었다. 저신용자 신용대출에서 카드론과...,https://www.daejonilbo.com/news/articleView.html?idxno=2264293,12,,1
저신용자 신용대출 11% 감소…카드론·대부업 의존도 확대,반면 법정 최고금리(연 20%)에 가까운 대부업의 저신용자 대출 공급액은 1조7천억원으로 3천억원 늘었다. 저신용자 신용대출 공급액 중 카드론과 대부업 비중은 58.3%로 전년(56%)보다 2.3%p 늘었다. 이는 저신용자 대출의...,https://www.fntoday.co.kr/news/articleView.html?idxno=380493,9,,1
