title,summary,url,score,prob,keep
"[기자수첩] 독버섯 닮은 불법사금융, 비 그친 뒤가 더 무섭다","불법사금융은 단속이 시작되면 몸을 낮추고, 감시가 느슨해지면 다시 고개를 드는 데 익숙한 시장이다. 반짝 단속은 일시적 위축을 만들 수는 있어도, 자칫 더 음성적이고 지능적인 변종만 키울 수 있다. 이 문제는 일회성...",https://www.ntoday.co.kr/news/articleView.html?idxno=126641,7,,1
"현대해상, '디지털사고안심보험' 출시","이 상품은 보이스피싱·메신저피싱 등 사이버 금융범죄 피해는 물론, 중고거래 등 비대면 직거래 과정에서 발생하는 피해까지 보장한다. 사이버 금융범죄 피해는 최대 500만원, 가족보장특약 가입 시 온 가족이 함께...",http://www.hansbiz.co.kr/news/articleView.html?idxno=834110,1,,0
고유가지원금 27일부터 신청…기준·지급일은?,"한편 지원금 지급 시기를 악용한 스미싱·보이스피싱 피해도 우려된다. ‘유류비 지원’, ‘지원금 대상 조회’ 등의 키워드를 이용한 피싱사이트나 문자가 유통될 수 있는 만큼, 출처 불명의 링크 클릭이나 앱 설치...",https://www.bntnews.co.kr/article/view/bnt202604210033,0,,0
[AI시대의 그늘-고객센터 ⑯] 상담원 연결 '산 넘어 산'...ARS·챗봇 게이...,AI 활용으로 인한 편리함 뒤에 교묘한 알고리즘으로 소비자를 조정하고 피해를 양산하는 일도 현실이 되고... 보이스피싱 안내 멘트를 약 24초 들어야 하고 이후 AI 상담을 통해 문의 유형을 선택해야 상담원 연결이...,http://www.consumernews.co.kr/news/articleView.html?idxno=752963,0,,0
“1170만원 양주 심부름”…사장님 울린 ‘노쇼 사기’[only 이데일리],"점차 고도화 되는 ‘노쇼 시나리오’, 피해액 급증 ‘군 부대 사칭’으로 시작해 지난해부터 본격적으로... 기존 보이스피싱뿐만 아니라 △몸캠피싱 △투자리딩방 △로맨스스캠 △노쇼 사기 등으로 나눠 범죄를 저지른...",http://www.edaily.co.kr/news/newspath.asp?newsid=02089366645418416,0,,0
지난해 車보험사기 피해자에 부당 할증보험료 13.6억 환급,각 보험회사가 보험사기 피해자에게 관련 내용을 안내한 뒤 다음 달부터 순차적으로 서민금융진흥원에 출연할 예정이다. 아울러 금감원은 아울러 보험개발원을 통한 보험금 환급 안내를 가장한 보이스피싱 사례가...,http://www.fins.co.kr/news/articleView.html?idxno=108297,11,,1
"""몰랐다"" 변명 안 통한다…텔레그램 '범죄 대행'도 미필적 고의 적용","이어 ""피고인은 인터넷 구직 사이트에 이력서를 등록하고 보이스피싱 조직원으로부터 아르바이트 업무를 제안받았는데, 면접을 거치지 않는 등 절차가 이례적""이라며 ""피해자들을 상대로 한 현금 수거 등 방식은 통상의...",https://www.asiatoday.co.kr/view.php?key=20260420010006275,0,,0
"[단신]삼성카드, ‘롯데마트 카드’ 출시 外",월 보험료 8000원 수준의 ‘고급형’ 플랜에 가입하면 보이스피싱·메신저피싱 등 사이버 금융사기 피해를 당했을 때 최대 500만 원까지 보장받을 수 있다. 가족보장 특약에 가입하면 가족 구성원도 보장된다.,https://www.donga.com/news/Economy/article/all/20260420/133776472/2,2,,1
보이스피싱 중간책 검거 결정적 역할 한 은행 직원,최 계장은 “평소 보이스피싱을 예방하기 위한 교육을 받은 대로 행동했고 이를 통해 소중한 고객 및 주민들의 돈을 지킬 수 있게 됐다”며 “앞으로도 보이스피싱으로 인한 고객 피해를 막기 위해 노력하겠다”고...,https://www.kwnews.co.kr/page/view/2026042050087600000,3,,1
구직사이트 통해 보이스피싱 수거책으로 일한 20대 실형,"A씨는 2025년 3∼5월 4회에 걸쳐 보이스피싱 피해자들로부터 총 9,600만원을 건네받아 조직에 넘긴 혐의로 재판에 넘겨졌다. A씨는 2024년 2월 구직 사이트를 통해 알게 된 보이스피싱 조직원으로부터 “현금을 받아 다른...",https://www.kwnews.co.kr/page/view/2026042050144700000,0,,0
BNK경남은행 '금융사기 피해예방 교육',"김덕원 울산도시공사영업소장은 신종 보이스피싱 사례를 공유하고, 금융 사기 피해 대처방법과 핵심요령 등을 안내했다.BNK경남은행은 20일 울산남구시니어클럽에서 지역 노인을 대상으로 '전기통신금융사기 피해예방...",https://www.ksilbo.co.kr/news/articleView.html?idxno=1054587,4,,1
"현대해상, 디지털 금융사고 대응 보험 선봬","이번 상품은 디지털 환경에서 증가하는 금융 범죄 피해를 종합적으로 보장하는 데 초점을 맞췄다. 보이스피싱과 메신저피싱 등 사이버 금융범죄는 물론, 중고거래와 인터넷 쇼핑몰 이용 과정에서 발생하는 사기 피해까지...",https://www.kdpress.co.kr/news/articleView.html?idxno=204457,1,,0
"독자기고 - 친절한 목소리와 대량 예약 뒤에 숨은 칼날, '보이스피싱'과...","최근 보이스피싱은 단순히 기관을 사칭하는 것을 넘어, 고수익을 보장한다며 투자를 유도하는 '리딩방' 사기나, 피해자를 직접 만나 현금을 가로채는 '대면편취형'으로 진화했다. ""나는 절대 안 당해""라고 자신하는 사람도...",http://www.jeonmin.co.kr/news/articleView.html?idxno=438361,0,,0
"군산署, 호원대 외국인 유학생 대상 범죄예방교실 개최","주요 내용은 한국 법령·기초질서 준수 교육, 보이스피싱・성범죄 등 주요 범죄 유형과 예방 요령, 긴급상황... 임정빈 서장은 ""외국인 유학생들이 언어와 문화의 장벽으로 인해 범죄 피해에 취약할 수 있는 만큼, 이해하기...",http://www.jeonmin.co.kr/news/articleView.html?idxno=438362,0,,0
"창녕군, 공무원 사칭 소방용품 구매 요구 사례 발생",창녕군은 공무원을 사칭해 관내 장례식장에 소방용품(질식소화포) 구매를 요구하는 보이스피싱 사례가... 실제로 검열을 우려한 해당 업체가 물품을 구매하면서 재산 피해가 발생한 것으로 확인됐다. 군은 피해 사례 접수...,http://www.gnmaeil.com/news/articleView.html?idxno=584975,0,,0
고유가 피해지원금 신청 정보 국민비서앱 알림 서비스 실시,고유가 피해지원금을 별도로 신청해야 한다. 행정안전부는 서비스 시행에 앞서 지원금을 미끼로 한 보이스피싱과 스미싱 사기에 당하지 않도록 주의를 당부했다. 국민비서 알림 메시지에는 타 사이트로 연결되는...,https://www.ulsanpress.net/news/articleView.html?idxno=573661,0,,0
