title,summary,url,score,prob,keep
"금융위, 불법사금융 피해자 131명·추심중단 537건 점검","피해 유형은 법정최고금리 초과 피해가 65%로 가장 높았고, 불법채권추심 피해 21%, 미등록대부 피해 14%로... 대부업법 시행령 개정과 통합신고 서식 개정은 2026년 2분기 중 완료할 예정이며, 불법추심에 이용된 대포통장...",http://www.ttlnews.com/news/articleView.html?idxno=3094555,38,,1
"광주시, 어린이보호구역·분양광고 등 ‘불법광고물 자동전화’ 단속 확...","기존 시스템은 성매매, 고리대금 등 불법 사금융이나 일부 상업광고에만 제한적으로 운영되어 왔다. 이 때문에 도로변에 난립하는 분양광고나 어린이 안전을...",http://www.breaknews.com/1196347,1,,0
[Who Is ?] 김인 새마을금고중앙회 회장,MG AMCO는 업무 개시 이후 부실채권 매입을 통해 연체율 안정화에 주력하고 향후 위임채권 추심과 여신... △배당제한 명령 받아 새마을금고가 행정 당국으로부터 배당 제한 제재를 받았다. 행정안전부는 2024년 12월20일...,https://www.businesspost.co.kr/BP?command=article_view&num=434638,16,,1
"대전서 보이스피싱 현금 수거책, 시민 신고로 검거","대전에서 저금리 대출을 해주겠다고 속여 피해자에게 8천여만 원을 가로챈 혐의로, 20대 보이스피싱 현금 수거책이 검찰에 구속 상태로 넘겨졌습니다. 대전동부경찰서는 지난달 19일 대전역 인근에서, 피해자가 쇼핑백을...",https://tjmbc.co.kr/NewsArticle/832682,2,,1
[써보니] 갤럭시 S26 울트라...AI가 제안하고 대신 실행하고,"보이스피싱으로 인한 피해가 급증하는 요즘 실용적인 기능이라는 생각이 들었다. 갤럭시 S26 울트라의 AI는 단순 보조 기능을 넘어, 사용자가 선택하기 전 단계까지 개입하는 구조로 설계된 점이 특징이다. 하드웨어...",http://www.inews24.com/view/1955566,0,,0
"계좌 막히자 ""좋은 선물 줄게""…사기 일당이 '테러' 의뢰","[A 씨/보복 테러 피해자 : 사적 보복 (조직)이라고 생각을 전혀 못 했고 '보이스피싱 팀의 일원이 우리 집에 와서 보복을 했구나'라고만 생각을 한 거예요.] 하지만 SBS 취재 결과, A 씨 사례 역시 배달의민족 외주사에서...",https://news.sbs.co.kr/news/endPage.do?news_id=N1008500156&plink=ORI&cooper=NAVER,0,,0
농협은행 출시 ‘보이스피싱 보상보험’ 홍보,"보이스피싱·메신저피싱으로 인한 직접 송금 피해액의 70%를 보장하며, 한도는 각각 최대 1000만원이다. 최원준 본부장은 “어르신들이 안심하고 금융서비스를 이용할 수 있도록 사기 예방활동에 힘쓰겠다”고 말했다.",https://www.nongmin.com/article/20260330500766,4,,1
보이스피싱 등 ‘자금세탁’ 양형기준 신설… 피해 클수록 가중처벌,"보이스피싱, 마약 등 범죄로 벌어들인 수익을 해외로 빼돌리면 징역 6∼10년을 선고하도록 하는 기준이 새로... 또 피해자가 나중에 받아가도록 피고인이 법원에 돈을 맡겨 두는 공탁 제도 관련 양형기준도 바뀐다....",https://www.donga.com/news/Society/article/all/20260401/133650142/2,0,,0
중국 날아가 보이스피싱 피해금 찾아준 강원경찰,31일 본지 취재를 종합하면 강원경찰청은 지난 17일 검사 사칭 보이스피싱 피해자 A씨의 피해금 2400만원을 중국에서 환수했다.중국 형사판결문을 바탕으로 현지에서 경찰이 피해자에게 직접 피해금을 돌려받은 전국 첫...,https://www.kado.net/news/articleView.html?idxno=2041977,0,,0
"강원경찰, 중국서 보이스피싱 피해금 환수",국경을 넘은 보이스피싱 범죄 피해금이 중국 현지에서 극적으로 환수돼 피해자 품으로 돌아왔다. 강원도에서 발생한 사건을 경찰이 국제공조 수사를 통해 피해 회복까지 이끌어낸 국내 첫 성공 사례로 ‘수사의 완결은...,https://www.kwnews.co.kr/page/view/2026033116583138318,0,,0
"""수사기관 사칭 휴대전화 신규 개통 주의를""",울산경찰청은 보이스피싱 피해 예방을 위해 휴대전화 대리점과 협조 체계를 구축했다고 31일 밝혔다. 경찰은 대리점이 의심 고객 발견 시 112에 즉시 신고하도록 했다. 대리점은 보이스피싱 예방 체크리스트를 활용한다....,https://www.ksilbo.co.kr/news/articleView.html?idxno=1052839,0,,0
[법정칼럼]보이스피싱은 왜 사라지지 않는가,"그 수법 내용을 들여다보면, 보이스피싱 조직원이나 피해자 모두 정상적으로는 추가 대출이 어려운 상황에서도 편법을 통한 추가 대출이 가능하다는 점을 전제로 하고 있음을 알 수 있다. 물론 피해자를 현혹하는...",https://www.kwnews.co.kr/page/view/2026033113160806633,1,,0
"경남농협, 보이스피싱 보험 무료 지원","점에서 실질적인 금융 안전망 역할을 할 것으로 기대된다. 권동현 본부장은 이번 보이스피싱 보상보험을 통해 피해를 입은 고객이 좌절하지 않고 다시 일어설 수 있도록 농협은행이 든든한 울타리가 되겠다""고 말했다.",http://www.gnmaeil.com/news/articleView.html?idxno=583580,4,,1
[금융 브리핑] 헬스케어·ESG·소비자보호까지 전방위 혁신 확대,연금·시니어·청소년 맞춤 서비스 경쟁 본격화 스타트업 육성·고객 참여 기반 서비스 개선 강화 보이스피싱... 고령층을 중심으로 금융 피해 예방과 자산 보호 인식을 높이는 계기가 될 것으로 기대된다. ■미래에셋생명...,https://www.seoultimes.news/news/article.html?no=2000094639,1,,0
"""끼니로 시작해 삶을 살리다""… 화성 '그냥드림', 위기 시민 구하는 통...",지난해 12월 문을 연 '그냥드림'은 단순한 식료품 지원을 넘어 보이스피싱 피해자 구조와 다중채무 문제 해결까지 연계하며 복지 사각지대를 실질적으로 메우는 역할을 하고 있다. 보이스피싱으로 전 재산을 잃은 70대 A씨는...,https://www.newscj.com/news/articleView.html?idxno=3390353,0,,0
